criterion,observed,threshold,decision,detail
id:continuity accuracy,mean=0.9618; ci_low=0.9273,mean>=0.95; ci_low>=0.9,PASS,
id:allocation accuracy,mean=0.9118; ci_low=0.8595,mean>=0.95; ci_low>=0.9,FAIL,
id:protection accuracy,mean=0.9898; ci_low=0.9811,mean>=0.95; ci_low>=0.9,PASS,
encoding_ood:continuity accuracy,mean=0.9556; ci_low=0.9182,mean>=0.9; ci_low>=0.85,PASS,
encoding_ood:allocation accuracy,mean=0.9075; ci_low=0.8539,mean>=0.9; ci_low>=0.85,PASS,
encoding_ood:protection accuracy,mean=0.9872; ci_low=0.9791,mean>=0.9; ci_low>=0.85,PASS,
factor_ood:continuity accuracy,mean=0.9584; ci_low=0.9231,mean>=0.9; ci_low>=0.85,PASS,
factor_ood:allocation accuracy,mean=0.9093; ci_low=0.8569,mean>=0.9; ci_low>=0.85,PASS,
factor_ood:protection accuracy,mean=0.9901; ci_low=0.9817,mean>=0.9; ci_low>=0.85,PASS,
rule_ood:allocation accuracy,mean=0.7499; ci_low=0.6133,mean>=0.9; ci_low>=0.85,FAIL,
rule_ood:protection accuracy,mean=0.8931; ci_low=0.8181,mean>=0.9; ci_low>=0.85,FAIL,
causal following:identity,mean=0.9426; ci_low=0.8942,mean>=0.8; ci_low>=0.7,PASS,
causal specificity:identity,mean=0.7644; ci_low=0.6731,mean>=0.4; ci_low>=0.3,PASS,
non-target preservation:identity,mean=0.1174; ci_high=0.1386,mean<=0.1; ci_high<=0.15,FAIL,
outcome mediation:identity,mean=0.7592,mean>=0.1,PASS,
counterfactual model accuracy:identity,mean=0.9426,mean>=0.9,PASS,
causal following:beneficiary,mean=0.7270; ci_low=0.5805,mean>=0.8; ci_low>=0.7,FAIL,
causal specificity:beneficiary,mean=0.5372; ci_low=0.3508,mean>=0.4; ci_low>=0.3,PASS,
non-target preservation:beneficiary,mean=0.1445; ci_high=0.1678,mean<=0.1; ci_high<=0.15,FAIL,
outcome mediation:beneficiary,mean=0.0873,mean>=0.1,FAIL,
counterfactual model accuracy:beneficiary,mean=0.7270,mean>=0.9,FAIL,
causal following:concern,mean=0.8946; ci_low=0.8215,mean>=0.8; ci_low>=0.7,PASS,
causal specificity:concern,mean=0.8273; ci_low=0.7227,mean>=0.4; ci_low>=0.3,PASS,
non-target preservation:concern,mean=0.0938; ci_high=0.1004,mean<=0.1; ci_high<=0.15,PASS,
outcome mediation:concern,mean=0.2836,mean>=0.1,PASS,
counterfactual model accuracy:concern,mean=0.8946,mean>=0.9,FAIL,
causal following:allocation,mean=0.9159; ci_low=0.8664,mean>=0.8; ci_low>=0.7,PASS,
causal specificity:allocation,mean=0.5869; ci_low=0.4735,mean>=0.4; ci_low>=0.3,PASS,
non-target preservation:allocation,mean=0.0374; ci_high=0.0628,mean<=0.1; ci_high<=0.15,PASS,
outcome mediation:allocation,mean=0.2683,mean>=0.1,PASS,
counterfactual model accuracy:allocation,mean=0.9159,mean>=0.9,PASS,
causal following:protection,mean=0.9805; ci_low=0.9628,mean>=0.8; ci_low>=0.7,PASS,
causal specificity:protection,mean=0.7007; ci_low=0.5919,mean>=0.4; ci_low>=0.3,PASS,
non-target preservation:protection,mean=0.0702; ci_high=0.1186,mean<=0.1; ci_high<=0.15,PASS,
outcome mediation:protection,mean=0.5994,mean>=0.1,PASS,
counterfactual model accuracy:protection,mean=0.9805,mean>=0.9,PASS,
