rule_mode,eval_mode,phase,phase_name,n_seeds,action_acc_mean,action_acc_ci_low,action_acc_ci_high,outcome_mae_mean,outcome_mae_ci_low,outcome_mae_ci_high,action_acc_min
compositional,encoding_ood,0,continuity,24,0.9555937995513281,0.9181768723453085,0.9831458852315943,0.08130982657894488,0.05842383665731171,0.10734937193919902,0.6332500576972961
compositional,encoding_ood,1,allocation,24,0.9074687957763672,0.8539266096428036,0.9527299915750821,0.11534818820655342,0.10579877146519717,0.12479190997158483,0.627750039100647
compositional,encoding_ood,2,protection,24,0.9872187897562981,0.9790729605282346,0.9938128039861719,0.072517622107019,0.06889961999452979,0.07629093228994553,0.9317500591278076
compositional,encoding_ood,3,integrated,24,0.9047917102773985,0.871801345050335,0.9361044760172565,0.08599509764462705,0.08084138514629251,0.09125086119553691,0.7690000534057617
compositional,factor_ood,0,continuity,24,0.9584271262089411,0.9231354568774501,0.9815628028785188,0.0852517928384865,0.06266015799580293,0.11100101675450177,0.6207500100135803
compositional,factor_ood,1,allocation,24,0.9093229522307714,0.8568945595994593,0.9531885769218206,0.11581298771003878,0.10642157259086765,0.1251885178033262,0.6182500123977661
compositional,factor_ood,2,protection,24,0.9900937899947166,0.9816768622025848,0.9966458678866427,0.07217790636544422,0.06856709558827179,0.07587043995736163,0.9270000457763672
compositional,factor_ood,3,integrated,24,0.8209167073170344,0.747664881311357,0.88780316816022,0.08759228046983476,0.08203464242784923,0.0933154473546892,0.5112500190734863
compositional,id,0,continuity,24,0.96176045636336,0.9273224381109079,0.9845208652317524,0.07773743379705893,0.05601358171067352,0.102582284239664,0.6357500553131104
compositional,id,1,allocation,24,0.9117917021115621,0.8595414266611139,0.9556146143004298,0.11527569405734535,0.10560852831695225,0.12492098671694592,0.624500036239624
compositional,id,2,protection,24,0.9897917062044144,0.9810726967950661,0.9966669601077834,0.07137942407280204,0.0678124366754976,0.07512175446997084,0.9337500333786012
compositional,id,3,integrated,24,0.9092292090257009,0.8774877987181147,0.9393125476315618,0.0849447625999649,0.07981724273413415,0.09016173460986461,0.7825000286102295
compositional,rule_ood,0,continuity,24,0.9589792117476463,0.9235414495070775,0.9835523933793108,0.07886581638983137,0.05675655882029478,0.10411351139191534,0.6322500109672546
compositional,rule_ood,1,allocation,24,0.7498750360585594,0.6133094028945683,0.873010723106563,0.11885906818012393,0.10489494456754374,0.1350314925347144,0.0020000000949949
compositional,rule_ood,2,protection,24,0.8930729453762373,0.8181031535069148,0.9574583671987057,0.07971659473453956,0.0709356123503918,0.09021016371746853,0.5049999952316284
compositional,rule_ood,3,integrated,24,0.9090417151649793,0.8776039536421498,0.9387919776141643,0.09638133272528644,0.08770515943566955,0.10509232578333463,0.7797500491142273
packed,encoding_ood,0,continuity,24,0.9588646267851194,0.9212596748645107,0.985083644092083,0.07881474180612709,0.05869585729378736,0.103194799600169,0.6365000009536743
packed,encoding_ood,1,allocation,24,0.8564896211028099,0.7924265993759037,0.9169484791656336,0.11596028134226795,0.10617840087506916,0.1259531273739412,0.612250030040741
packed,encoding_ood,2,protection,24,0.988656297326088,0.9820000528668363,0.9939583764101069,0.07022622305278971,0.06713144728758678,0.07319883852032938,0.9417500495910645
packed,encoding_ood,3,integrated,24,0.8930417075753212,0.8628328525771697,0.9219904082516829,0.08053440724809961,0.07652335090097036,0.08500881297513839,0.7747500538825989
packed,factor_ood,0,continuity,24,0.95747921615839,0.920685983945926,0.9828857254857818,0.08390036341734226,0.0637664176872931,0.1077864261596308,0.6310000419616699
packed,factor_ood,1,allocation,24,0.8520521248380343,0.7865299897268414,0.9142919724807143,0.11630755352477229,0.10651032382932799,0.12618951206871615,0.6192500591278076
packed,factor_ood,2,protection,24,0.9901354536414146,0.9831562861800194,0.9955000356460612,0.07008554864053919,0.06688323592534283,0.07322507755209998,0.9377500414848328
packed,factor_ood,3,integrated,24,0.7958229544262091,0.7209982140300174,0.8651781662677726,0.08429635533442097,0.07919731931760902,0.09027659186006831,0.4647500216960907
packed,id,0,continuity,24,0.959697961807251,0.922739113929371,0.9851875405758619,0.07896320017365113,0.058695829029117345,0.10347697049922616,0.6382500529289246
packed,id,1,allocation,24,0.8579062968492508,0.7947182713076473,0.9177542171751459,0.11632312368601556,0.10637417731340972,0.12641664409699535,0.6235000491142273
packed,id,2,protection,24,0.9913437937696775,0.9851667160789171,0.9961250375335415,0.06943935745706158,0.06644319373105338,0.07238364559210211,0.9480000734329224
packed,id,3,integrated,24,0.897510456542174,0.8680721706400315,0.9256773836910724,0.08042480827619626,0.07626454023023439,0.08509056380329029,0.7867500185966492
packed,rule_ood,0,continuity,24,0.9578542113304138,0.9201969122514129,0.9839794754981995,0.08010982147728399,0.059804236361135986,0.10432175011568078,0.6330000162124634
packed,rule_ood,1,allocation,24,0.8127083703875542,0.7459771212811271,0.875543529788653,0.10974436129132903,0.10398572855629024,0.115796821230712,0.5347500443458557
packed,rule_ood,2,protection,24,0.9052917038400968,0.8473638356352846,0.9538453497613469,0.08376230718567963,0.07552821605543913,0.09410649635829027,0.5080000162124634
packed,rule_ood,3,integrated,24,0.8953229611118635,0.8652914468819897,0.9239479601383209,0.10721645535280304,0.09721383146631218,0.11816412925254548,0.781000018119812
