rule_mode,kind,target,patch,mean_policy_follow,min_policy_follow,mean_non_target_change,mean_outcome_mediation,mean_outcome_closer,total_conflicts
compositional,factor,beneficiary,matched_relation_token,0.7270023088979846,0.0033039646223187447,0.14453704073093832,0.0873241952843576,0.7075415601332983,21350
compositional,factor,beneficiary,random_norm_relation_token,0.1897764194291085,0.025871766731142998,0.042916667725269995,-0.048344580175277464,0.5157127703229586,21350
compositional,factor,concern,matched_relation_token,0.8946069702506065,0.5049944519996643,0.0937500015522043,0.28362256672699004,0.8273495038350424,21320
compositional,factor,concern,random_norm_relation_token,0.06728165257178868,0.004530011210590601,0.022604167335278664,-0.06342541984971224,0.5023529107371966,21320
compositional,factor,identity,matched_relation_token,0.9425898008048534,0.4867841303348541,0.11738426249939948,0.7591731689850955,0.958883119126161,21649
compositional,factor,identity,random_norm_relation_token,0.17821857915259898,0.01674107275903225,0.045729167837028704,0.10038784830733978,0.6733136946956316,21649
compositional,operator,allocation,matched_comparator_token,0.9159375155965487,0.596666693687439,0.03737268632297249,0.26825463890175644,0.808108352124691,28800
compositional,operator,allocation,random_norm_comparator_token,0.3290625087295969,0.04833333566784859,0.03550925980865335,-0.078708959723978,0.5283254471917948,28800
compositional,operator,protection,matched_comparator_token,0.9805169155200323,0.8529412150382996,0.07016203981766012,0.5993940765038133,0.9421483452121416,14350
compositional,operator,protection,random_norm_comparator_token,0.2798002469353378,0.03612479567527771,0.050277778830301635,0.05961614012630889,0.6562091521918774,14350
packed,factor,beneficiary,matched_relation_token,0.7765975929796696,0.46266970038414,0.13878472576228282,0.20048602166813603,0.71199273938934,21350
packed,factor,beneficiary,random_norm_relation_token,0.26665837643668056,0.026837807148694992,0.05208333480792741,-0.0318746888624446,0.5149143574138483,21350
packed,factor,concern,matched_relation_token,0.9033369806905588,0.49944260716438293,0.09953703979651134,0.25791313642791164,0.8193607032299042,21320
packed,factor,concern,random_norm_relation_token,0.06363101082388312,0.006741573102772236,0.027268519062393654,-0.07348145405800703,0.506641456236442,21320
packed,factor,identity,matched_relation_token,0.944674514234066,0.4918389320373535,0.11967592870738979,0.7786377579687193,0.9518951599796613,21649
packed,factor,identity,random_norm_relation_token,0.2199280420318246,0.020179372280836105,0.05348379754771789,0.12163233468891121,0.6842580859859785,21649
packed,operator,allocation,matched_full_rule_coalition,0.8586458464463552,0.6066666841506958,0.03759259327004353,0.28767771855928004,0.8310810104012489,28800
packed,operator,allocation,random_norm_full_rule_coalition,0.18802083687235913,0.07333333790302277,0.058090278801197805,-0.03601230813364964,0.542232715835174,28800
packed,operator,protection,matched_full_rule_coalition,0.9810301288962364,0.8593220114707947,0.049293983213525884,0.562107199182113,0.9340884114305178,14350
packed,operator,protection,random_norm_full_rule_coalition,0.2283076677316179,0.015625,0.08847222508241732,-0.010983097599819303,0.6152971833944321,14350
