factor,phase,patch,mean_follow,min_follow,max_follow,mean_policy_change,total_conflicts
beneficiary,1,entities_only,0.2220089634259542,0.0,0.6660268902778625,0.17857142289479574,1573
beneficiary,1,entities_phase,0.4809845760464668,0.08365758508443832,0.7236084342002869,0.37761904547611874,1573
beneficiary,1,full_relation_coalition,0.9981412688891093,0.9944238066673279,1.0,0.7480952342351278,1573
beneficiary,1,phase_only,0.25194347153107327,0.04798464477062225,0.6319702863693237,0.22952380776405334,1573
beneficiary,1,random_norm_full,0.03373415023088455,0.0191938579082489,0.046692606061697006,0.04619047666589419,1573
beneficiary,1,role_entities,0.7256839275360107,0.3661710023880005,0.924124538898468,0.572380950053533,1573
beneficiary,1,role_only,0.47722552220026654,0.19001919031143188,0.8754863739013672,0.36761905749638873,1573
beneficiary,1,role_phase,0.7543503443400065,0.2687140107154846,0.9980545043945312,0.5790476202964783,1573
beneficiary,1,shuffled_full,0.3405417601267497,0.3186180293560028,0.36059480905532837,0.6328571240107218,1573
beneficiary,3,entities_only,0.33237754832953215,0.0,0.9945945739746094,0.17571428321146718,1134
beneficiary,3,entities_phase,0.7388439079125723,0.2868020236492157,0.9972972869873047,0.42523809770743054,1134
beneficiary,3,full_relation_coalition,0.9981981913248698,0.9972972869873047,1.0,0.5400000015894572,1134
beneficiary,3,phase_only,0.3937211235364278,0.0,0.9324324131011963,0.25000000399692607,1134
beneficiary,3,random_norm_full,0.038651849453647934,0.029729729518294334,0.04568528011441231,0.06666666641831398,1134
beneficiary,3,role_entities,0.5137010045970479,0.013513513840734959,0.9945945739746094,0.3009523789708813,1134
beneficiary,3,role_only,0.16942424202958742,0.0,0.4974619150161743,0.11523809547846516,1134
beneficiary,3,role_phase,0.6640737056732178,0.0,0.9972972869873047,0.36523807945195585,1134
beneficiary,3,shuffled_full,0.2783189316590627,0.26756757497787476,0.29441624879837036,0.7099999984105428,1134
concern,2,entities_only,0.0,0.0,0.0,0.0,1498
concern,2,entities_phase,0.2906491830945015,0.0,0.8505050539970398,0.21666667486230531,1498
concern,2,full_relation_coalition,0.9993502298990885,0.9980506896972656,1.0,0.7128571271896362,1498
concern,2,phase_only,0.2893023764093717,0.0,0.8464646339416504,0.21571428328752518,1498
concern,2,random_norm_full,0.03296649518112341,0.0181818176060915,0.06122449040412903,0.03523809586962064,1498
concern,2,role_entities,0.6742749040325483,0.09494949132204056,1.0,0.496666652460893,1498
concern,2,role_only,0.6756217057506243,0.09898989647626877,1.0,0.49761903534332913,1498
concern,2,role_phase,0.9993502298990885,0.9980506896972656,1.0,0.7133333285649618,1498
concern,2,shuffled_full,0.3541933298110962,0.3255360722541809,0.3696969747543335,0.5242857138315836,1498
concern,3,entities_only,0.003401360474526882,0.0,0.010204081423580647,0.0014285713744660218,573
concern,3,entities_phase,0.33272072300314903,0.010362694039940834,0.967391312122345,0.089047621935606,573
concern,3,full_relation_coalition,1.0,1.0,1.0,0.2733333309491475,573
concern,3,phase_only,0.3292084392160177,0.010362694039940834,0.9619565010070801,0.08857143142571051,573
concern,3,random_norm_full,0.03525492176413536,0.025510204955935478,0.054347824305295944,0.022380953033765156,573
concern,3,role_entities,0.6616755430586636,0.005434782709926367,1.0,0.18380951784395924,573
concern,3,role_only,0.6616755430586636,0.005434782709926367,1.0,0.1842857092851773,573
concern,3,role_phase,0.9982993205388387,0.9948979616165161,1.0,0.2738095223903656,573
concern,3,shuffled_full,0.2785801688830058,0.2448979616165161,0.33695653080940247,0.7104761997858683,573
identity,0,entities_only,0.661596953868866,0.0,1.0,0.4942857225735982,1569
identity,0,entities_phase,0.9987289309501648,0.9980879426002502,1.0,0.7461904883384705,1569
identity,0,full_relation_coalition,1.0,1.0,1.0,0.7471428513526917,1569
identity,0,phase_only,0.33269598086675006,0.0,0.9980879426002502,0.24857143561045328,1569
identity,0,random_norm_full,0.0268239655221502,0.0076045626774430275,0.036538463085889816,0.05523809355994066,1569
identity,0,role_entities,0.6666666666666666,0.0,1.0,0.49809523423512775,1569
identity,0,role_only,0.0,0.0,0.0,0.0004761904710903764,1569
identity,0,role_phase,0.3371356148272753,0.0,1.0,0.2523809503375863,1569
identity,0,shuffled_full,0.341626505057017,0.3288719058036804,0.3499999940395355,0.6209523876508077,1569
identity,3,entities_only,0.3843856503566106,0.0,0.9905063509941101,0.1757142891486486,971
identity,3,entities_phase,0.9424889286359152,0.8463855385780334,0.9969040155410767,0.43666667739550274,971
identity,3,full_relation_coalition,0.9949519435564677,0.9879518151283264,1.0,0.46047618985176086,971
identity,3,phase_only,0.49093587199846905,0.0,0.9969040155410767,0.22952381273110709,971
identity,3,random_norm_full,0.057854375491539635,0.03405572846531868,0.08227848261594772,0.060476191341876984,971
identity,3,role_entities,0.45173352646330994,0.0030959751456975937,0.9936708807945251,0.20761904520137855,971
identity,3,role_only,0.03135581904401382,0.0030959751456975937,0.07831325381994247,0.01476190499185274,971
identity,3,role_phase,0.5524630205084881,0.01582278497517109,1.0,0.2590476226372023,971
identity,3,shuffled_full,0.278947393099467,0.2414860725402832,0.3042168617248535,0.7019047737121582,971
