seed,factor,phase,layer,conflict_n,follow
16160,identity,0,0,297,1.0
16160,identity,0,1,297,1.0
16160,identity,0,2,297,1.0
16160,identity,3,0,177,1.0
16160,identity,3,1,177,1.0
16160,identity,3,2,177,1.0
16160,beneficiary,1,0,284,1.0
16160,beneficiary,1,1,284,1.0
16160,beneficiary,1,2,284,1.0
16160,beneficiary,3,0,213,1.0
16160,beneficiary,3,1,213,1.0
16160,beneficiary,3,2,213,1.0
16160,concern,2,0,298,1.0
16160,concern,2,1,298,0.9966443181037903
16160,concern,2,2,298,1.0
16160,concern,3,0,103,1.0
16160,concern,3,1,103,1.0
16160,concern,3,2,103,1.0
16161,identity,0,0,304,1.0
16161,identity,0,1,304,1.0
16161,identity,0,2,304,1.0
16161,identity,3,0,183,1.0
16161,identity,3,1,183,0.7814207673072815
16161,identity,3,2,183,1.0
16161,beneficiary,1,0,302,1.0
16161,beneficiary,1,1,302,1.0
16161,beneficiary,1,2,302,1.0
16161,beneficiary,3,0,226,1.0
16161,beneficiary,3,1,226,0.7876105904579163
16161,beneficiary,3,2,226,1.0
16161,concern,2,0,326,1.0
16161,concern,2,1,326,1.0
16161,concern,2,2,326,1.0
16161,concern,3,0,111,1.0
16161,concern,3,1,111,1.0
16161,concern,3,2,111,1.0
16162,identity,0,0,300,1.0
16162,identity,0,1,300,0.996666669845581
16162,identity,0,2,300,1.0
16162,identity,3,0,169,1.0
16162,identity,3,1,169,0.8994082808494568
16162,identity,3,2,169,1.0
16162,beneficiary,1,0,318,1.0
16162,beneficiary,1,1,318,1.0
16162,beneficiary,1,2,318,1.0
16162,beneficiary,3,0,208,1.0
16162,beneficiary,3,1,208,0.625
16162,beneficiary,3,2,208,1.0
16162,concern,2,0,316,1.0
16162,concern,2,1,316,1.0
16162,concern,2,2,316,1.0
16162,concern,3,0,115,1.0
16162,concern,3,1,115,0.991304337978363
16162,concern,3,2,115,1.0
16163,identity,0,0,307,1.0
16163,identity,0,1,307,1.0
16163,identity,0,2,307,1.0
16163,identity,3,0,153,1.0
16163,identity,3,1,153,1.0
16163,identity,3,2,153,1.0
16163,beneficiary,1,0,277,1.0
16163,beneficiary,1,1,277,0.9891696572303772
16163,beneficiary,1,2,277,1.0
16163,beneficiary,3,0,209,1.0
16163,beneficiary,3,1,209,1.0
16163,beneficiary,3,2,209,1.0
16163,concern,2,0,303,1.0
16163,concern,2,1,303,1.0
16163,concern,2,2,303,1.0
16163,concern,3,0,121,1.0
16163,concern,3,1,121,0.10743801295757294
16163,concern,3,2,121,1.0
16164,identity,0,0,302,1.0
16164,identity,0,1,302,1.0
16164,identity,0,2,302,1.0
16164,identity,3,0,190,1.0
16164,identity,3,1,190,1.0
16164,identity,3,2,190,1.0
16164,beneficiary,1,0,305,1.0
16164,beneficiary,1,1,305,1.0
16164,beneficiary,1,2,305,1.0
16164,beneficiary,3,0,226,1.0
16164,beneficiary,3,1,226,1.0
16164,beneficiary,3,2,226,1.0
16164,concern,2,0,296,1.0
16164,concern,2,1,296,1.0
16164,concern,2,2,296,1.0
16164,concern,3,0,122,1.0
16164,concern,3,1,122,1.0
16164,concern,3,2,122,1.0
