factor,phase,layer,mean_follow,min_follow,max_follow
beneficiary,1,0,1.0,1.0,1.0
beneficiary,1,1,0.9978339314460755,0.9891696572303772,1.0
beneficiary,1,2,1.0,1.0,1.0
beneficiary,3,0,1.0,1.0,1.0
beneficiary,3,1,0.8825221180915832,0.625,1.0
beneficiary,3,2,1.0,1.0,1.0
concern,2,0,1.0,1.0,1.0
concern,2,1,0.999328863620758,0.9966443181037903,1.0
concern,2,2,1.0,1.0,1.0
concern,3,0,1.0,1.0,1.0
concern,3,1,0.8197484701871872,0.10743801295757294,1.0
concern,3,2,1.0,1.0,1.0
identity,0,0,1.0,1.0,1.0
identity,0,1,0.9993333339691162,0.996666669845581,1.0
identity,0,2,1.0,1.0,1.0
identity,3,0,1.0,1.0,1.0
identity,3,1,0.9361658096313477,0.7814207673072815,1.0
identity,3,2,1.0,1.0,1.0
