seed,eval_mode,phase,name,action_acc,outcome_mae
16165,id,0,continuity,1.0,0.0179934706538915
16165,id,1,allocation,1.0,0.0726378858089447
16165,id,2,protection,1.0,0.0450663045048713
16165,id,3,integrated,0.996666669845581,0.0612781606614589
16165,encoding_ood,0,continuity,1.0,0.0177557487040758
16165,encoding_ood,1,allocation,1.0,0.0708913654088974
16165,encoding_ood,2,protection,0.998888909816742,0.047035876661539
16165,encoding_ood,3,integrated,0.995555579662323,0.0621237084269523
16165,factor_ood,0,continuity,0.998888909816742,0.0250297933816909
16165,factor_ood,1,allocation,1.0,0.0734697952866554
16165,factor_ood,2,protection,1.0,0.0473543927073478
16165,factor_ood,3,integrated,0.993333339691162,0.072080411016941
16165,rule_ood,0,continuity,1.0,0.0174124483019113
16165,rule_ood,1,allocation,0.7483333349227905,0.1257277578115463
16165,rule_ood,2,protection,0.6922222375869751,0.0884985998272895
16165,rule_ood,3,integrated,0.998888909816742,0.0951819866895675
16166,id,0,continuity,0.9994444251060486,0.0261289943009614
16166,id,1,allocation,0.992222249507904,0.0866583958268165
16166,id,2,protection,0.9994444251060486,0.0549163594841957
16166,id,3,integrated,0.9994444251060486,0.065956711769104
16166,encoding_ood,0,continuity,1.0,0.0260108411312103
16166,encoding_ood,1,allocation,0.9916666746139526,0.0866435468196868
16166,encoding_ood,2,protection,1.0,0.0547907687723636
16166,encoding_ood,3,integrated,0.998888909816742,0.0662467554211616
16166,factor_ood,0,continuity,1.0,0.0327317975461483
16166,factor_ood,1,allocation,0.9894444346427916,0.0871667340397834
16166,factor_ood,2,protection,0.9994444251060486,0.0557402372360229
16166,factor_ood,3,integrated,0.9977777600288392,0.0678837150335311
16166,rule_ood,0,continuity,0.9972222447395324,0.0256875194609165
16166,rule_ood,1,allocation,0.6994444727897644,0.1101835221052169
16166,rule_ood,2,protection,0.5716666579246521,0.086365595459938
16166,rule_ood,3,integrated,0.9983333349227904,0.0840760245919227
16167,id,0,continuity,1.0,0.0142679968848824
16167,id,1,allocation,1.0,0.0547539852559566
16167,id,2,protection,1.0,0.0429963320493698
16167,id,3,integrated,1.0,0.063516728579998
16167,encoding_ood,0,continuity,1.0,0.0143106263130903
16167,encoding_ood,1,allocation,0.9994444251060486,0.054668191820383
16167,encoding_ood,2,protection,1.0,0.0423510149121284
16167,encoding_ood,3,integrated,0.9994444251060486,0.0642873644828796
16167,factor_ood,0,continuity,1.0,0.0145260579884052
16167,factor_ood,1,allocation,0.9994444251060486,0.0576102547347545
16167,factor_ood,2,protection,1.0,0.0442443415522575
16167,factor_ood,3,integrated,0.9977777600288392,0.066228449344635
16167,rule_ood,0,continuity,1.0,0.0147016737610101
16167,rule_ood,1,allocation,0.8327777981758118,0.1070663854479789
16167,rule_ood,2,protection,0.9438889026641846,0.0783422514796257
16167,rule_ood,3,integrated,0.9994444251060486,0.0986862033605575
16168,id,0,continuity,1.0,0.0233386810868978
16168,id,1,allocation,1.0,0.0692337080836296
16168,id,2,protection,0.9994444251060486,0.0511261448264122
16168,id,3,integrated,0.9905555844306946,0.0589728280901908
16168,encoding_ood,0,continuity,1.0,0.0230894815176725
16168,encoding_ood,1,allocation,1.0,0.0689159631729126
16168,encoding_ood,2,protection,1.0,0.0504569001495838
16168,encoding_ood,3,integrated,0.9961110949516296,0.0581132806837558
16168,factor_ood,0,continuity,1.0,0.0260883942246437
16168,factor_ood,1,allocation,0.998888909816742,0.0721920952200889
16168,factor_ood,2,protection,1.0,0.0510457940399646
16168,factor_ood,3,integrated,0.993333339691162,0.0642444714903831
16168,rule_ood,0,continuity,0.9994444251060486,0.0245569162070751
16168,rule_ood,1,allocation,0.596666693687439,0.1314918398857116
16168,rule_ood,2,protection,0.6666666865348816,0.1072967424988746
16168,rule_ood,3,integrated,0.9983333349227904,0.116301916539669
16169,id,0,continuity,1.0,0.0123393712565302
16169,id,1,allocation,0.9977777600288392,0.0751232132315635
16169,id,2,protection,0.998888909816742,0.0468083620071411
16169,id,3,integrated,0.9983333349227904,0.0529220439493656
16169,encoding_ood,0,continuity,1.0,0.0120740719139575
16169,encoding_ood,1,allocation,0.998888909816742,0.0747267678380012
16169,encoding_ood,2,protection,1.0,0.0460726618766784
16169,encoding_ood,3,integrated,1.0,0.0513671934604644
16169,factor_ood,0,continuity,0.9994444251060486,0.0160010624676942
16169,factor_ood,1,allocation,0.9944444298744202,0.0764385983347892
16169,factor_ood,2,protection,1.0,0.0468682944774627
16169,factor_ood,3,integrated,0.998888909816742,0.0545751638710498
16169,rule_ood,0,continuity,1.0,0.0123865650966763
16169,rule_ood,1,allocation,0.8861111402511597,0.14711894094944
16169,rule_ood,2,protection,0.995555579662323,0.0463794879615306
16169,rule_ood,3,integrated,0.9983333349227904,0.0641434267163276
