eval_mode,name,action_acc_mean,action_acc_min,action_acc_max,outcome_mae_mean
encoding_ood,allocation,0.9980000019073486,0.9916666746139526,1.0,0.0711691670119762
encoding_ood,continuity,1.0,1.0,1.0,0.018648153916001282
encoding_ood,integrated,0.9980000019073486,0.995555579662323,1.0,0.06042766049504274
encoding_ood,protection,0.9997777819633484,0.998888909816742,1.0,0.04814144447445864
factor_ood,allocation,0.9964444398880005,0.9894444346427916,1.0,0.07337549552321429
factor_ood,continuity,0.9996666669845581,0.998888909816742,1.0,0.02287542112171646
factor_ood,integrated,0.9962222218513489,0.993333339691162,0.998888909816742,0.065002442151308
factor_ood,protection,0.9998888850212098,0.9994444251060486,1.0,0.0490506120026111
id,allocation,0.9980000019073486,0.992222249507904,1.0,0.07168143764138218
id,continuity,0.9998888850212098,0.9994444251060486,1.0,0.01881370283663266
id,integrated,0.997000002861023,0.9905555844306946,1.0,0.06052929461002347
id,protection,0.9995555520057678,0.998888909816742,1.0,0.04818270057439802
rule_ood,allocation,0.752666687965393,0.596666693687439,0.8861111402511597,0.12431768923997874
rule_ood,continuity,0.9993333339691162,0.9972222447395324,1.0,0.01894902456551786
rule_ood,integrated,0.9986666679382324,0.9983333349227904,0.9994444251060486,0.09167791157960886
rule_ood,protection,0.7740000128746033,0.5716666579246521,0.995555579662323,0.08137653544545168
