target_factor,layer,phase_name,own_role_follow,max_cross_role_follow,matching_phase_follow,specificity
identity,0,continuity,1.0,0.0,0.0,1.0
identity,0,integrated,1.0,0.0,0.0,1.0
identity,1,continuity,0.10871769092203927,0.0,0.7996471360946037,0.10871769092203927
identity,1,integrated,0.7067538317538317,0.0,0.22524350649350647,0.7067538317538317
identity,2,continuity,0.0,0.0,1.0,0.0
identity,2,integrated,0.0,0.0,1.0,0.0
beneficiary,0,allocation,1.0,0.0,0.0,1.0
beneficiary,0,integrated,1.0,0.0,0.0,1.0
beneficiary,1,allocation,0.19758909853249476,0.0,0.7723338067221208,0.19758909853249476
beneficiary,1,integrated,0.20303885391795093,0.001230012300123,0.5500615006150061,0.20180884161782792
beneficiary,2,allocation,0.0,0.0,1.0,0.0
beneficiary,2,integrated,0.0,0.0,1.0,0.0
concern,0,protection,1.0,0.0,0.0,1.0
concern,0,integrated,1.0,0.0,0.0,1.0
concern,1,protection,0.325876566714263,0.0,0.5797095178342203,0.325876566714263
concern,1,integrated,0.4148148148148148,0.0,0.4777777777777778,0.4148148148148148
concern,2,protection,0.0,0.0,1.0,0.0
concern,2,integrated,0.0,0.0,1.0,0.0
