seed,condition,target_factor,source_subspace,k,conflict_n,counterfactual_follow,policy_change_rate,world_prediction_stability
16120,unified_behavior_only,identity,identity,4,292,0.9965753424657534,0.485,1.0
16120,unified_behavior_only,identity,beneficiary,4,292,1.0,0.4866666666666667,1.0
16120,unified_behavior_only,identity,concern,4,292,0.9931506849315068,0.4833333333333333,0.9980555555555556
16120,unified_behavior_only,identity,random,4,292,0.0,0.0,1.0
16120,unified_behavior_only,beneficiary,identity,4,327,0.9969418960244648,0.5433333333333333,0.9991666666666666
16120,unified_behavior_only,beneficiary,beneficiary,4,327,1.0,0.545,1.0
16120,unified_behavior_only,beneficiary,concern,4,327,0.9908256880733946,0.54,0.9969444444444444
16120,unified_behavior_only,beneficiary,random,4,327,0.0,0.0,1.0
16120,unified_behavior_only,concern,identity,4,193,0.9896373056994818,0.3183333333333333,1.0
16120,unified_behavior_only,concern,beneficiary,4,193,0.9896373056994818,0.3183333333333333,1.0
16120,unified_behavior_only,concern,concern,4,193,1.0,0.3216666666666666,1.0
16120,unified_behavior_only,concern,random,4,193,0.0,0.0,1.0
16121,unified_behavior_only,identity,identity,4,271,1.0,0.4516666666666666,1.0
16121,unified_behavior_only,identity,beneficiary,4,271,0.977859778597786,0.4416666666666666,1.0
16121,unified_behavior_only,identity,concern,4,271,0.977859778597786,0.4416666666666666,1.0
16121,unified_behavior_only,identity,random,4,271,0.0,0.0,1.0
16121,unified_behavior_only,beneficiary,identity,4,328,0.9878048780487804,0.54,0.9983333333333332
16121,unified_behavior_only,beneficiary,beneficiary,4,328,0.972560975609756,0.5366666666666666,1.0
16121,unified_behavior_only,beneficiary,concern,4,328,0.9664634146341464,0.535,1.0
16121,unified_behavior_only,beneficiary,random,4,328,0.0,0.0,1.0
16121,unified_behavior_only,concern,identity,4,184,1.0,0.3066666666666666,0.9994444444444444
16121,unified_behavior_only,concern,beneficiary,4,184,0.9836956521739132,0.3033333333333333,1.0
16121,unified_behavior_only,concern,concern,4,184,1.0,0.3066666666666666,1.0
16121,unified_behavior_only,concern,random,4,184,0.0,0.0,1.0
16122,unified_behavior_only,identity,identity,4,266,1.0,0.4433333333333333,1.0
16122,unified_behavior_only,identity,beneficiary,4,266,1.0,0.4433333333333333,1.0
16122,unified_behavior_only,identity,concern,4,266,0.9323308270676692,0.4216666666666667,1.0
16122,unified_behavior_only,identity,random,4,266,0.0,0.0,1.0
16122,unified_behavior_only,beneficiary,identity,4,339,0.9941002949852508,0.5616666666666666,0.9991666666666666
16122,unified_behavior_only,beneficiary,beneficiary,4,339,1.0,0.565,0.9997222222222222
16122,unified_behavior_only,beneficiary,concern,4,339,0.9469026548672568,0.5383333333333333,1.0
16122,unified_behavior_only,beneficiary,random,4,339,0.0,0.0,1.0
16122,unified_behavior_only,concern,identity,4,207,1.0,0.345,0.9958333333333332
16122,unified_behavior_only,concern,beneficiary,4,207,1.0,0.345,0.9986111111111112
16122,unified_behavior_only,concern,concern,4,207,1.0,0.345,1.0
16122,unified_behavior_only,concern,random,4,207,0.0,0.0,1.0
